"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"2383",17308,2383,"TheSongMsgs","“All I want is the taste that your lips allow.","Ed Sheeran","Song Lyric",4191,4005,"allow","tast","lip"
"2384",17311,2384,"TheSongMsgs","My heart breaks a little, when I hear your name","Bruno Mars","Song Lyric",7081,5456,"name","break","hear"
"2385",17314,2385,"TheSongMsgs","I tell myself that I'll be strong.","Ellie Goulding","Song Lyric",6956,4116,"strong","tell","ill"
"2386",17324,2386,"TheSongMsgs","Life is short, let’s go live it.","Jason Aldean","Song Lyric",500,404,"let’","short","live"
"2387",17329,2387,"TheSongMsgs","“As hard as you try, I will never be knocked down","Adele","Song Lyric",664,583,"knock","hard","will"
"2388",17333,2388,"TheSongMsgs","Everything you do is magic.","One Direction","Song Lyric",770,654,"magic","everyth",NA
"2389",17338,2389,"TheSongMsgs","Forget the haters, because somebody loves ya","Miley Cyrus","Song Lyric",5336,3884,"hater","somebodi","forget"
"2390",17343,2390,"TheSongMsgs","I swear you're giving me a heart attack","Olly Murs","Song Lyric",558,534,"attack","swear","give"
"2391",17344,2391,"TheSongMsgs","I am a champion and you're gonna hear me ROAR","Katy Perry","Song Lyric",520,490,"champion","roar","hear"
"2392",17359,2392,"TheSongMsgs","“You play my heart like it’s a game.”","Demi Lovato","Song Lyric",4549,3494,"game”","play","heart"
"2393",17360,2393,"TheSongMsgs","“You play my heart like it’s a game.”","Demi Lovato","Song Lyric",1029,827,"game”","play","heart"
"2394",17362,2394,"TheSongMsgs","I like the way you smile with your eyes.","One Direction","Song Lyric",4264,3111,"eye","smile","way"
"2395",17366,2395,"TheSongMsgs","Forget the haters, because somebody loves you.","Miley Cyrus","Song Lyric",4331,3043,"hater","somebodi","forget"
"2396",17367,2396,"TheSongMsgs","Look for the girl with the broken smile.","Maroon","Song Lyric",4633,3804,"broken","girl","look"
"2397",17369,2397,"TheSongMsgs","I maybe made some mistakes, but I'm only human.","Eminem","Song Lyric",5150,3243,"mayb","made","human"
"2398",17376,2398,"TheSongMsgs","Don't tell me you're sorry because you're not.","Rihanna","Song Lyric",4103,3052,"your","sorri","tell"
