"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"1",8,1,"inspire_us","There is only one rule for being a good talker","Unknown","Inspirational Quote",175,246,"talker","rule","good"
"2",14,2,"inspire_us","The world is but a canvas to the imagination.","Henry David Thoreau","Inspirational Quote",134,180,"canva","imagin","world"
"3",18,3,"inspire_us","Count your rainbows, not your thunderstorms.","Unknown","Inspirational Quote",213,303,"thunderstorm","rainbow","count"
"4",20,4,"inspire_us","Don't stress. Do your best. Forget the rest.","Unknown","Inspirational Quote",300,403,"rest","stress","forget"
"5",26,5,"inspire_us","Let your past make you BETTER not BITTER.","Unknown","Inspirational Quote",260,341,"bitter","past","better"
"6",28,6,"inspire_us","Today is another chance to get it right.","Unknown","Inspirational Quote",307,355,"anoth","chanc","right"
"7",30,7,"inspire_us","Hope anchors the soul.","Unknown","Inspirational Quote",173,227,"anchor","soul","hope"
"8",34,8,"inspire_us","It's hard to beat a person who never gives up.","Babe Ruth","Inspirational Quote",234,281,"beat","person","hard"
"9",37,9,"inspire_us","Isn't it ironic:","We ignore the ones that adore us","Inspirational Quote",406,565,"iron","isnt",NA
"10",48,10,"inspire_us","Everyone you meet has something to teach you.","Unknown","Inspirational Quote",384,462,"meet","teach","everyon"
"11",53,11,"inspire_us","The less you know, the more you believe.","Bono","Inspirational Quote",191,269,"less","believ","know"
"12",61,12,"inspire_us","The art of being wise is knowing what to overlook.","William James","Inspirational Quote",196,229,"overlook","wise","art"
"13",65,13,"inspire_us","Stars can't shine without darkness.","Unknown","Inspirational Quote",256,381,"shine","star","dark"
"14",69,14,"inspire_us","I walk slowly, but I never walk backwards.","Unknown","Inspirational Quote",304,381,"walk","backward","slowli"
"15",72,15,"inspire_us","Do everything in love.","Unknown","Inspirational Quote",264,389,"everyth","love",NA
"16",82,16,"inspire_us","You were born to make an impact.","Unknown","Inspirational Quote",319,420,"impact","born","make"
"17",91,17,"inspire_us","Don't let a hard lesson harden your heart.","Unknown","Inspirational Quote",314,385,"harden","lesson","hard"
"18",102,18,"inspire_us","Pain is real. But so is hope.","Unknown","Inspirational Quote",295,330,"pain","hope","real"
"19",108,19,"inspire_us","What defines us is how well we rise after falling.","Unknown","Inspirational Quote",274,375,"defin","rise","well"
"20",110,20,"inspire_us","You are good enough.","Unknown","Inspirational Quote",259,387,"enough","good",NA
"21",120,21,"inspire_us","Love fearlessly.","Unknown","Inspirational Quote",161,234,"fearless","love",NA
"22",128,22,"inspire_us","I love people who make me smile.","Unknown","Inspirational Quote",493,662,"peopl","smile","make"
"23",129,23,"inspire_us","Love the unloved.","Unknown","Inspirational Quote",338,514,"unlov","love",NA
"24",133,24,"inspire_us","Love is vulnerable.","Unknown","Inspirational Quote",138,223,"vulner","love",NA
"25",143,25,"inspire_us","But even when I am afraid, I keep on trusting you.","Psalm 56:3","Inspirational Quote",257,362,"trust","keep","afraid"
"26",149,26,"inspire_us","Well behaved women seldom make history.","Unknown","Inspirational Quote",132,222,"behav","seldom","women"
"27",157,27,"inspire_us","All great achievements require time.","Maya Angelou","Inspirational Quote",272,360,"requir","achiev","great"
"28",163,28,"inspire_us","Let love win.","Unknown","Inspirational Quote",193,287,"win","let","love"
"29",165,29,"inspire_us","Don't speak unless you can improve the silence.","Unknown","Inspirational Quote",743,1133,"improv","unless","speak"
"30",170,30,"inspire_us","Thankfulness is the beginning of happiness.","Unknown","Inspirational Quote",300,367,"thank","begin","happi"
"31",173,31,"inspire_us","Be a voice, not an echo.","Unknown","Inspirational Quote",323,404,"echo","voic",NA
"32",177,32,"inspire_us","Every saint has a past. Every sinner has a future.","Warren Buffet","Inspirational Quote",212,339,"everi","sinner","saint"
"33",186,33,"greatestquotes","One important key to success is self","confidence. An important key to self","Inspirational Quote",478,642,"key","self","import"
"34",203,34,"greatestquotes","Our aspirations are our possibilities.","Robert Browning","Inspirational Quote",188,279,"aspir","possibl",NA
"35",204,35,"greatestquotes","Be not simply good; be good for something.","Henry David Thoreau","Inspirational Quote",263,423,"good","simpli","someth"
"36",205,36,"greatestquotes","Don't wish it were easier. Wish you were better.","Jim Rohn","Inspirational Quote",414,618,"wish","easier","better"
"37",208,37,"greatestquotes","To lose patience is to lose the battle.","Mahatma Gandhi","Inspirational Quote",584,801,"lose","battl","patienc"
"38",215,38,"greatestquotes","Make each day your masterpiece.","John Wooden","Inspirational Quote",302,451,"masterpiec","day","make"
"39",216,39,"greatestquotes","Not failure, but low aim, is a crime.","James Russell Lowell","Inspirational Quote",257,417,"crime","low","aim"
"40",224,40,"greatestquotes","Conquer your bad habits or they will conquer you.","Rob Gilbert","Inspirational Quote",369,543,"conquer","habit","bad"
"41",225,41,"greatestquotes","Wanting to be liked can get in the way of truth.","Delia Ephron","Inspirational Quote",196,342,"truth","way","get"
"42",226,42,"greatestquotes","There is nothing impossible to him who will try.","Alexander the Great","Inspirational Quote",351,507,"imposs","will","tri"
"43",232,43,"greatestquotes","The journey is the reward.","Chinese Proverb","Inspirational Quote",302,444,"reward","journey",NA
"44",233,44,"greatestquotes","Anyone who angers you conquers you.","Elizabeth Kenny","Inspirational Quote",437,669,"anger","anyon","conquer"
"45",234,45,"greatestquotes","You must do the thing you think you cannot do.","Eleanor Roosevelt","Inspirational Quote",404,565,"must","think","thing"
"46",236,46,"greatestquotes","You can do it if you believe you can!","Napoleon Hill","Inspirational Quote",315,404,"can","believ",NA
"47",238,47,"greatestquotes","Life has no limitations, except e ones you make.","Les Brown","Inspirational Quote",214,280,"except","limit","one"
"48",244,48,"greatestquotes","Every exit is an entry somewhere else.","Tom Stoppard","Inspirational Quote",367,412,"entri","exit","somewher"
"49",246,49,"greatestquotes","An ant on the move does more than a dozing ox.","Lao Tzu","Inspirational Quote",319,457,"ant","doze","move"
"50",249,50,"greatestquotes","Don't wait. The time will never be just right.","Napoleon Hill","Inspirational Quote",499,683,"wait","right","time"
"51",252,51,"greatestquotes","It is unwise to be too sure of one's own wisdom.","Mahatma Gandhi","Inspirational Quote",318,439,"unwis","sure","wisdom"
"52",258,52,"greatestquotes","The future depends on what we do in the present.","Mahatma Gandhi","Inspirational Quote",480,598,"present","depend","futur"
"53",259,53,"greatestquotes","Need and struggle are what excite and inspire us.","William James","Inspirational Quote",248,339,"excit","inspir","struggl"
"54",265,54,"greatestquotes","Life is either daring adventure or nothing.","Helen Keller","Inspirational Quote",319,409,"adventur","either","dare"
"55",268,55,"greatestquotes","We must travel in the direction of our fear.","John Berryman","Inspirational Quote",374,484,"direct","travel","fear"
"56",272,56,"greatestquotes","Desire is the starting point of all achievement.","Napoleon Hill","Inspirational Quote",344,465,"desir","point","achiev"
"57",273,57,"greatestquotes","Anything's possible if you've got enough nerve.","J.K. Rowling","Inspirational Quote",463,628,"nerv","enough","youv"
"58",283,58,"greatestquotes","Discontent is the first necessity of progress.","Thomas Edison","Inspirational Quote",402,544,"discont","necess","progress"
"59",287,59,"greatestquotes","He who talks more is sooner exhausted.","Lao Tsu","Inspirational Quote",294,490,"exhaust","sooner","talk"
"60",289,60,"greatestquotes","Think and wonder, wonder and think.","Dr. Seuss","Inspirational Quote",407,524,"wonder","think",NA
"61",291,61,"greatestquotes","Love what you do. Do what you love.","Wayne Dyer","Inspirational Quote",447,538,"love",NA,NA
"62",301,62,"greatestquotes","Patience is the companion of wisdom.","St. Augustine","Inspirational Quote",424,534,"companion","patienc","wisdom"
"63",302,63,"greatestquotes","Be the change that you want to see in the world.","Mahatma Gandhi","Inspirational Quote",485,628,"see","world","chang"
"64",303,64,"greatestquotes","Instinct is untaught ability.","Alexander Bain","Inspirational Quote",307,402,"untaught","instinct","abil"
"65",308,65,"greatestquotes","Silence is a source of great strength.","Lao Tsu","Inspirational Quote",489,667,"sourc","strength","silenc"
"66",312,66,"greatestquotes","Believe and act as if it were impossible to fail.","Charles Kettering","Inspirational Quote",358,511,"fail","act","imposs"
"67",314,67,"greatestquotes","We didn't lose the game; we just ran out of time.","Vince Lombardi","Inspirational Quote",248,411,"ran","game","didnt"
"68",315,68,"greatestquotes","A man's errors are his portals of discovery.","James Joyce","Inspirational Quote",253,324,"discoveri","error","portal"
"69",319,69,"greatestquotes","We were born to succeed, not to fail.","Henry David Thoreau","Inspirational Quote",275,354,"succeed","born","fail"
"70",323,70,"greatestquotes","Great acts are made up of small deeds.","Lao Tzu","Inspirational Quote",284,390,"small","deed","made"
"71",330,71,"greatestquotes","A nation that destroys its soils destroys itself.","Franklin D. Roosevelt","Inspirational Quote",479,602,"destroy","soil","nation"
"72",336,72,"greatestquotes","Not all those who wander are lost.","J.R.R. Tolkien","Inspirational Quote",745,1044,"wander","lost",NA
"73",344,73,"greatestquotes","He who forgives ends the quarrel. —African proverb","Unknown","Inspirational Quote",434,625,"—african","proverb","quarrel"
"74",353,74,"greatestquotes","Happiness depends upon ourselves.","Aristotle","Inspirational Quote",527,708,"upon","depend","happi"
"75",356,75,"greatestquotes","Trust your gut.","Barbara Walters","Inspirational Quote",319,452,"gut","trust",NA
"76",358,76,"greatestquotes","Men easily believe what they want to.","Latin Proverb","Inspirational Quote",308,410,"easili","men","believ"
"77",363,77,"greatestquotes","A problem is a chance for you to do your best.","Duke Ellington","Inspirational Quote",468,609,"problem","chanc","best"
"78",368,78,"greatestquotes","The people who matter will recognise who you are.","Alan Cohen","Inspirational Quote",432,577,"recognis","matter","peopl"
"79",369,79,"greatestquotes","Nothing builds self","esteem and self","Inspirational Quote",444,616,"self","build","noth"
"80",371,80,"greatestquotes","Once you choose hope, anything's possible.","Christopher Reeve","Inspirational Quote",652,1055,"choos","hope","possibl"
"81",386,81,"greatestquotes","Action is the antidote to despair.","Joan Baez","Inspirational Quote",272,400,"despair","antidot","action"
"82",387,82,"greatestquotes","Ability is of little account without opportunity.","Napoleon Bonaparte","Inspirational Quote",216,352,"account","opportun","abil"
"83",390,83,"greatestquotes","Only the wisest and stupidest of men never change.","Confucius","Inspirational Quote",297,342,"stupidest","wisest","men"
"84",395,84,"greatestquotes","Imagination is more important than knowledge.","Albert Einstein","Inspirational Quote",459,633,"import","knowledg","imagin"
"85",407,85,"greatestquotes","Be a friend to thyself, and others will be so too.","Thomas Fuller","Inspirational Quote",235,401,"thyself","other","friend"
"86",411,86,"greatestquotes","Strength is a matter of a made up mind.","John Beecher","Inspirational Quote",288,366,"strength","made","matter"
"87",415,87,"greatestquotes","Don't count the days, make the days count.","Muhammad Ali","Inspirational Quote",608,710,"count","day","make"
"88",416,88,"greatestquotes","You are what you think about all day long.","Dr. Robert Schuller","Inspirational Quote",364,506,"long","day","think"
"89",421,89,"greatestquotes","Strength lies in differences, not in similarities.","Stephen Covey","Inspirational Quote",419,547,"similar","strength","differ"
"90",423,90,"greatestquotes","Do more than believe: practice.","William Arthur Ward","Inspirational Quote",274,379,"practic","believ",NA
"91",427,91,"greatestquotes","Well done is better than well said.","Benjamin Franklin","Inspirational Quote",479,636,"well","done","said"
"92",447,92,"greatestquotes","Doubt can only be removed by action.","Johann Wolfgang von Goethe","Inspirational Quote",330,459,"remov","doubt","action"
"93",449,93,"greatestquotes","We learn by doing.","Aristotle","Inspirational Quote",505,612,"learn",NA,NA
"94",451,94,"greatestquotes","To lead the people, walk behind them.","Lao Tzu","Inspirational Quote",446,628,"lead","behind","walk"
"95",453,95,"greatestquotes","Necessity is the mother of taking chances.","Mark Twain ac","Inspirational Quote",197,324,"mother","necess","chanc"
"96",454,96,"greatestquotes","Every day holds the possibility of a miracle.","Elizabeth David","Inspirational Quote",396,491,"hold","miracl","possibl"
"97",464,97,"greatestquotes","The sound body is the product of the sound mind.","George Bernard Shaw","Inspirational Quote",168,263,"sound","product","bodi"
"98",465,98,"greatestquotes","The speed of the leader is the speed of the gang.","Mary Kay Ash","Inspirational Quote",166,240,"speed","gang","leader"
"99",466,99,"greatestquotes","Common sense is not so common.","Voltaire","Inspirational Quote",466,517,"common","sens",NA
"100",467,100,"greatestquotes","When it is dark enough, you can see the stars.","Ralph Waldo Emerson","Inspirational Quote",429,611,"star","dark","enough"
"101",470,101,"greatestquotes","If you're going through hell, keep going.","Winston Churchill","Inspirational Quote",492,657,"hell","keep","your"
"102",476,102,"greatestquotes","Without danger you cannot get beyond danger.","George Herbert","Inspirational Quote",149,253,"danger","beyond","without"
"103",478,103,"greatestquotes","There is no substitute for hard work.","Thomas Edison","Inspirational Quote",367,475,"substitut","work","hard"
"104",486,104,"greatestquotes","Wherever you go, go with all your heart.","Confucius","Inspirational Quote",556,726,"wherev","heart",NA
"105",491,105,"greatestquotes","I have nothing to declare except my genius.","Oscar Wilde","Inspirational Quote",206,312,"genius","declar","except"
"106",492,106,"greatestquotes","The mind's job is to validate what it thinks.","Byron Katie","Inspirational Quote",213,283,"valid","job","mind"
"107",497,107,"greatestquotes","Leap and the net will appear.","Julia Cameron","Inspirational Quote",185,266,"appear","leap","net"
"108",508,108,"greatestquotes","Never mistake motion for action.","Ernest Hemingway","Inspirational Quote",291,467,"motion","action","mistak"
"109",509,109,"greatestquotes","He that can have patience can have what he will.","Benjamin Franklin","Inspirational Quote",348,527,"can","patienc","will"
"110",512,110,"greatestquotes","All great changes are preceded by chaos.","Deepak Chopra","Inspirational Quote",411,560,"chao","preced","great"
"111",518,111,"greatestquotes","The value of achievement lies in the achieving.","Albert Einstein","Inspirational Quote",282,380,"achiev","valu","lie"
"112",519,112,"greatestquotes","It isn't what you do, but how you do it.","John Wooden","Inspirational Quote",315,434,"isnt",NA,NA
"113",528,113,"greatestquotes","Excellence is not a skill. It is an attitude.","Ralph Marston","Inspirational Quote",549,686,"skill","excel","attitud"
"114",529,114,"greatestquotes","Life is the art of drawing without an eraser.","John W. Gardner","Inspirational Quote",459,576,"draw","eras","art"
"115",536,115,"greatestquotes","To climb steep hills requires slow pace at first.","William Shakespeare","Inspirational Quote",344,424,"climb","hill","pace"
"116",537,116,"greatestquotes","Tough times never last, but tough people do.","Dr. Robert Schuller","Inspirational Quote",569,628,"tough","last","peopl"
"117",541,117,"greatestquotes","While we are postponing, life speeds by.","Seneca","Inspirational Quote",386,459,"postpon","speed","life"
"118",543,118,"greatestquotes","This world is but a canvas to our imagination.","Henry David Thoreau","Inspirational Quote",251,301,"canva","imagin","world"
"119",546,119,"greatestquotes","We will either find a way, or make one.","Hannibal","Inspirational Quote",399,434,"either","find","will"
"120",549,120,"greatestquotes","Freedom is nothing but a chance to be better.","Albert Camus","Inspirational Quote",324,407,"freedom","chanc","better"
"121",555,121,"greatestquotes","The purpose of our lives is to be happy.","Dalai Lama","Inspirational Quote",546,612,"purpos","happi","live"
"122",558,122,"greatestquotes","Knowledge speaks, but wisdom listens.","Jimi Hendrix","Inspirational Quote",557,631,"knowledg","speak","listen"
"123",562,123,"greatestquotes","A goal without a plan is just a wish.","Antoine de Saint Exupery","Inspirational Quote",399,485,"plan","goal","wish"
"124",565,124,"greatestquotes","Wisdom begins in wonder.","Socrates","Inspirational Quote",283,368,"wonder","wisdom","begin"
"125",566,125,"greatestquotes","Sometimes the easiest way is the hard way.","John Finn","Inspirational Quote",348,401,"way","easiest","hard"
"126",567,126,"greatestquotes","Be yourself; everyone else is already taken.","Oscar Wilde","Inspirational Quote",540,660,"alreadi","taken","els"
"127",570,127,"greatestquotes","Life has no limitations, except the ones you make.","Les Brown","Inspirational Quote",406,445,"except","limit","one"
"128",582,128,"greatestquotes","It's kind of fun to do the impossible.","Walt Disney","Inspirational Quote",357,454,"fun","kind","imposs"
"129",586,129,"greatestquotes","A short saying often contains much wisdom.","Sophocles","Inspirational Quote",232,351,"contain","short","often"
"130",587,130,"greatestquotes","I believe that every person is born with talent.","Maya Angelou","Inspirational Quote",416,552,"talent","born","person"
"131",590,131,"greatestquotes","I can resist anything but temptation.","Oscar Wilde","Inspirational Quote",228,308,"temptat","resist","anyth"
"132",594,132,"greatestquotes","Never, never, never give up.","Winston Churchill","Inspirational Quote",541,637,"never","give",NA
"133",598,133,"greatestquotes","Little by little, one travels far.","J. R. R. Tolkien","Inspirational Quote",567,604,"littl","far","travel"
"134",612,134,"greatestquotes","Enjoy your achievements as well as your plans.","Max Ehrmann","Inspirational Quote",229,268,"enjoy","plan","achiev"
"135",613,135,"greatestquotes","He who would travel happily must travel light.","Antoine de Saint","Inspirational Quote",262,412,"travel","happili","light"
"136",619,136,"greatestquotes","Wealth is the ability to fully experience life.","Henry David Thoreau","Inspirational Quote",353,505,"wealth","fulli","experi"
"137",622,137,"greatestquotes","Failure is impossible.","Susan B. Anthony","Inspirational Quote",181,214,"failur","imposs",NA
"138",627,138,"greatestquotes","A man is literally what he thinks.","James Allen","Inspirational Quote",288,429,"liter","think","man"
"139",628,139,"greatestquotes","A danger foreseen is half avoided.","Thomas Fuller","Inspirational Quote",176,263,"avoid","foreseen","half"
"140",631,140,"greatestquotes","In the middle of difficulty lies opportunity.","Albert Einstein","Inspirational Quote",545,586,"difficulti","middl","opportun"
"141",633,141,"greatestquotes","Things do not happen. Things are made to happen.","John F Kennedy","Inspirational Quote",396,483,"happen","thing","made"
"142",640,142,"greatestquotes","No pressure, no diamonds.","Mary Case","Inspirational Quote",427,509,"pressur","diamond",NA
"143",644,143,"greatestquotes","How did it get so late so soon?","Dr. Seuss","Inspirational Quote",281,344,"late","soon","get"
"144",647,144,"greatestquotes","Know yourself and you will win all battles.","Sun Tzu","Inspirational Quote",552,694,"battl","win","will"
"145",652,145,"greatestquotes","To conquer fear is the beginning of wisdom.","Bertrand Russell","Inspirational Quote",389,463,"conquer","wisdom","fear"
"146",662,146,"greatestquotes","Everyday, give yourself a good mental shampoo.","Dr. Sara Jordan","Inspirational Quote",257,345,"mental","shampoo","everyday"
"147",663,147,"greatestquotes","Live out of your imagination, not your history.","Stephen Covey","Inspirational Quote",350,455,"histori","imagin","live"
"148",669,148,"greatestquotes","Opportunities multiply as they are seized.","Sun Tzu","Inspirational Quote",427,513,"multipli","seiz","opportun"
"149",680,149,"greatestquotes","I can give you a six","word formula for success: Think things through","Inspirational Quote",619,835,"six","give","can"
"150",681,150,"greatestquotes","View life as a continuous learning experience.","Denis Waitley","Inspirational Quote",436,512,"view","continu","experi"
"151",697,151,"greatestquotes","The important thing is not to stop questioning.","Albert Einstein","Inspirational Quote",414,561,"question","import","stop"
"152",700,152,"greatestquotes","The best is yet to be.","Robert Browning","Inspirational Quote",311,374,"yet","best",NA
"153",703,153,"greatestquotes","We build too many walls and not enough bridges.","Isaac Newton","Inspirational Quote",547,597,"wall","bridg","mani"
"154",710,154,"greatestquotes","The human mind will not be confined to any limits.","Johann Wolfgang von Goethe","Inspirational Quote",239,297,"confin","limit","human"
"155",713,155,"greatestquotes","Just go out there and do what you've got to do.","Martina Navratilova","Inspirational Quote",246,327,"youv","got","just"
"156",718,156,"greatestquotes","A goal is a dream with a deadline.","Napolean Hill","Inspirational Quote",384,528,"deadlin","goal","dream"
"157",720,157,"greatestquotes","Music in the soul can be heard by the universe.","Lao Tsu","Inspirational Quote",346,445,"univers","soul","heard"
"158",722,158,"greatestquotes","A goal properly set is halfway reached.","Zig Ziglar","Inspirational Quote",231,349,"proper","halfway","reach"
"159",731,159,"greatestquotes","Change your thoughts and you change your world.","Norman Vincent Peale","Inspirational Quote",532,677,"chang","thought","world"
"160",736,160,"greatestquotes","Live out of your imagination, not your history.","Stephen Covey","Inspirational Quote",371,427,"histori","imagin","live"
"161",739,161,"greatestquotes","Finding is reserved for those that search.","Jim Rohn","Inspirational Quote",313,360,"reserv","search","find"
"162",740,162,"greatestquotes","I dream of painting and then I paint my dream.","Vincent Van Gogh","Inspirational Quote",305,471,"paint","dream",NA
"163",741,163,"greatestquotes","“Vision is the art of seeing things invisible.”","Jonathan Swift","Inspirational Quote",321,417,"“vision","invisible”","art"
"164",744,164,"greatestquotes","Whatever advice you give, be brief.","Horace","Inspirational Quote",282,479,"brief","whatev","advic"
"165",745,165,"greatestquotes","All that spirits desire, spirits attain.","Khalil Gibran","Inspirational Quote",222,337,"spirit","attain","desir"
"166",748,166,"greatestquotes","Change is inevitable. Change is constant.","Benjamin Disraeli","Inspirational Quote",326,426,"chang","constant","inevit"
"167",752,167,"greatestquotes","An aim in life is the only fortune worth finding.","Robert Louis Stevenson","Inspirational Quote",250,332,"aim","fortun","worth"
"168",785,168,"greatestquotes","The wisest men follow their own direction.","Euripides","Inspirational Quote",294,439,"wisest","direct","follow"
"169",791,169,"greatestquotes","A wish is a desire without energy.","Paramanhansa Yogananda","Inspirational Quote",210,279,"energi","desir","wish"
"170",794,170,"greatestquotes","To climb steep hills requires slow pace at first.","Shakespeare","Inspirational Quote",338,406,"climb","hill","pace"
"171",795,171,"greatestquotes","A candle loses nothing by lighting another candle.","Erin Majors","Inspirational Quote",543,655,"candl","light","anoth"
"172",801,172,"greatestquotes","Great minds have purposes; others have wishes.","Washington Irving","Inspirational Quote",388,505,"other","purpos","wish"
"173",802,173,"greatestquotes","All glory comes from daring to begin.","William Shakespeare","Inspirational Quote",359,493,"glori","dare","begin"
"174",804,174,"greatestquotes","You have to believe in yourself.","Sun Tzu","Inspirational Quote",418,464,"believ",NA,NA
"175",805,175,"greatestquotes","Don't find fault, find a remedy.","Henry Ford","Inspirational Quote",468,511,"find","remedi","fault"
"176",814,176,"greatestquotes","Attitudes are more important than facts.","Dr. Karl Menninger","Inspirational Quote",280,378,"attitud","fact","import"
"177",817,177,"greatestquotes","It's always too soon to quit.","Norman Vincent Peale","Inspirational Quote",303,404,"soon","quit","alway"
"178",819,178,"greatestquotes","If opportunity doesn't knock, build a door.","Milton Berle","Inspirational Quote",431,537,"door","knock","build"
"179",823,179,"greatestquotes","Light tomorrow with today.","Elizabeth Barrett Browning","Inspirational Quote",220,299,"light","tomorrow","today"
"180",825,180,"greatestquotes","If you learn from defeat, you haven't really lost.","Zig Ziglar","Inspirational Quote",478,575,"havent","defeat","lost"
"181",826,181,"greatestquotes","It is not length of life, but depth of life.","Ralph Waldo Emerson","Inspirational Quote",480,612,"length","depth","life"
"182",840,182,"greatestquotes","We make our own fortunes and call them fate.","Benjamin Disraeli","Inspirational Quote",383,490,"fate","fortun","call"
"183",846,183,"greatestquotes","The heart has its reasons which reason knows not.","Blaise Pascal","Inspirational Quote",598,728,"reason","heart","know"
"184",854,184,"greatestquotes","Happiness depends upon ourselves.","Aristotle","Inspirational Quote",679,669,"upon","depend","happi"
"185",857,185,"greatestquotes","Trust your gut.","Barbara Walters","Inspirational Quote",453,532,"gut","trust",NA
"186",859,186,"greatestquotes","Men easily believe what they want to.","Latin Proverb","Inspirational Quote",336,376,"easili","men","believ"
"187",864,187,"greatestquotes","A problem is a chance for you to do your best.","Duke Ellington","Inspirational Quote",542,601,"problem","chanc","best"
"188",869,188,"greatestquotes","The people who matter will recognise who you are.","Alan Cohen","Inspirational Quote",475,565,"recognis","matter","peopl"
"189",870,189,"greatestquotes","Nothing builds self","esteem and self","Inspirational Quote",466,587,"self","build","noth"
"190",872,190,"greatestquotes","Once you choose hope, anything's possible.","Christopher Reeve","Inspirational Quote",577,614,"choos","hope","possibl"
"191",888,191,"greatestquotes","Action is the antidote to despair.","Joan Baez","Inspirational Quote",283,325,"despair","antidot","action"
"192",889,192,"greatestquotes","Ability is of little account without opportunity.","Napoleon Bonaparte","Inspirational Quote",262,280,"account","opportun","abil"
"193",892,193,"greatestquotes","Only the wisest and stupidest of men never change.","Confucius","Inspirational Quote",373,436,"stupidest","wisest","men"
"194",897,194,"greatestquotes","Imagination is more important than knowledge.","Albert Einstein","Inspirational Quote",508,626,"import","knowledg","imagin"
"195",909,195,"greatestquotes","Be a friend to thyself, and others will be so too.","Thomas Fuller","Inspirational Quote",271,352,"thyself","other","friend"
"196",913,196,"greatestquotes","Strength is a matter of a made up mind.","John Beecher","Inspirational Quote",355,425,"strength","made","matter"
"197",917,197,"greatestquotes","Don't count the days, make the days count.","Muhammad Ali","Inspirational Quote",549,568,"count","day","make"
"198",918,198,"greatestquotes","You are what you think about all day long.","Dr. Robert Schuller","Inspirational Quote",389,543,"long","day","think"
"199",923,199,"greatestquotes","Strength lies in differences, not in similarities.","Stephen Covey","Inspirational Quote",420,519,"similar","strength","differ"
"200",925,200,"greatestquotes","Do more than believe: practice.","William Arthur Ward","Inspirational Quote",273,295,"practic","believ",NA
"201",929,201,"greatestquotes","Well done is better than well said.","Benjamin Franklin","Inspirational Quote",563,634,"well","done","said"
"202",949,202,"greatestquotes","Doubt can only be removed by action.","Johann Wolfgang von Goethe","Inspirational Quote",398,491,"remov","doubt","action"
"203",951,203,"greatestquotes","We learn by doing.","Aristotle","Inspirational Quote",593,627,"learn",NA,NA
"204",953,204,"greatestquotes","To lead the people, walk behind them.","Lao Tzu","Inspirational Quote",482,598,"lead","behind","walk"
"205",955,205,"greatestquotes","Necessity is the mother of taking chances.","Mark Twain ac","Inspirational Quote",213,262,"mother","necess","chanc"
"206",956,206,"greatestquotes","Every day holds the possibility of a miracle.","Elizabeth David","Inspirational Quote",409,428,"hold","miracl","possibl"
"207",966,207,"greatestquotes","The sound body is the product of the sound mind.","George Bernard Shaw","Inspirational Quote",195,247,"sound","product","bodi"
"208",967,208,"greatestquotes","The speed of the leader is the speed of the gang.","Mary Kay Ash","Inspirational Quote",193,232,"speed","gang","leader"
"209",968,209,"greatestquotes","Common sense is not so common.","Voltaire","Inspirational Quote",492,470,"common","sens",NA
"210",969,210,"greatestquotes","When it is dark enough, you can see the stars.","Ralph Waldo Emerson","Inspirational Quote",442,509,"star","dark","enough"
"211",972,211,"greatestquotes","If you're going through hell, keep going.","Winston Churchill","Inspirational Quote",546,658,"hell","keep","your"
"212",978,212,"greatestquotes","Without danger you cannot get beyond danger.","George Herbert","Inspirational Quote",197,220,"danger","beyond","without"
"213",980,213,"greatestquotes","There is no substitute for hard work.","Thomas Edison","Inspirational Quote",423,472,"substitut","work","hard"
"214",988,214,"greatestquotes","Wherever you go, go with all your heart.","Confucius","Inspirational Quote",508,605,"wherev","heart",NA
"215",993,215,"greatestquotes","I have nothing to declare except my genius.","Oscar Wilde","Inspirational Quote",205,281,"genius","declar","except"
"216",994,216,"greatestquotes","The mind's job is to validate what it thinks.","Byron Katie","Inspirational Quote",184,275,"valid","job","mind"
"217",999,217,"greatestquotes","Leap and the net will appear.","Julia Cameron","Inspirational Quote",202,275,"appear","leap","net"
"218",1010,218,"greatestquotes","Never mistake motion for action.","Ernest Hemingway","Inspirational Quote",297,394,"motion","action","mistak"
"219",1011,219,"greatestquotes","He that can have patience can have what he will.","Benjamin Franklin","Inspirational Quote",416,526,"can","patienc","will"
"220",1014,220,"greatestquotes","All great changes are preceded by chaos.","Deepak Chopra","Inspirational Quote",495,547,"chao","preced","great"
"221",1020,221,"greatestquotes","The value of achievement lies in the achieving.","Albert Einstein","Inspirational Quote",259,298,"achiev","valu","lie"
"222",1021,222,"greatestquotes","It isn't what you do, but how you do it.","John Wooden","Inspirational Quote",344,375,"isnt",NA,NA
"223",1030,223,"greatestquotes","Excellence is not a skill. It is an attitude.","Ralph Marston","Inspirational Quote",494,581,"skill","excel","attitud"
"224",1031,224,"greatestquotes","Life is the art of drawing without an eraser.","John W. Gardner","Inspirational Quote",430,455,"draw","eras","art"
"225",1038,225,"greatestquotes","To climb steep hills requires slow pace at first.","William Shakespeare","Inspirational Quote",352,413,"climb","hill","pace"
"226",1039,226,"greatestquotes","Tough times never last, but tough people do.","Dr. Robert Schuller","Inspirational Quote",599,686,"tough","last","peopl"
"227",1043,227,"greatestquotes","While we are postponing, life speeds by.","Seneca","Inspirational Quote",337,375,"postpon","speed","life"
"228",1045,228,"greatestquotes","This world is but a canvas to our imagination.","Henry David Thoreau","Inspirational Quote",288,349,"canva","imagin","world"
"229",1048,229,"greatestquotes","We will either find a way, or make one.","Hannibal","Inspirational Quote",416,427,"either","find","will"
